Gemeinde,Kanton,Einwohner,Fläche
Aadorf,TG,9216,19.93
Aarau,AG,21726,12.36
Aarberg,BE,4626,7.94
Aarburg,AG,8577,4.40
Aarwangen,BE,4638,9.87
Abtwil,AG,954,4.14
Aclens,VD,531,3.90
Acquarossa,TI,1807,61.77
Adelboden,BE,3343,87.64
Adligenswil,LU,5471,6.98
Adlikon,ZH,693,6.62
Adliswil,ZH,19049,7.78
Aedermannsdorf,SO,581,12.94
Aefligen,BE,1103,2.06
Aegerten,BE,2210,2.16
Aesch (BL),BL,10314,7.40
Aesch (LU),LU,1285,4.65
Aesch (ZH),ZH,1709,5.21
Aeschi (SO),SO,1268,5.41
Aeschi bei Spiez,BE,2256,30.93
Aeugst am Albis,ZH,2014,7.90
Affeltrangen,TG,2648,14.40
Affoltern am Albis,ZH,12289,10.53
Affoltern im Emmental,BE,1125,11.44
Agarn,VS,705,7.61
Agiez,VD,376,5.45
Agno,TI,4376,2.51
Aigle,VD,10462,16.50
Aire-la-Ville,GE,1160,2.88
Airolo,TI,1476,94.40
Alberswil,LU,665,3.56
Albinen,VS,243,15.56
Albula/Alvra,GR,1295,93.97
Alchenstorf,BE,584,6.61
Allaman,VD,442,2.59
Alle,JU,1895,10.65
Allmendingen,BE,579,3.77
Allschwil,BL,21374,8.91
Alpnach,OW,6109,53.83
Alpthal,SZ,613,22.94
Altbüron,LU,1017,6.72
Altdorf (UR),UR,9565,10.19
Altendorf,SZ,7111,20.48
Altikon,ZH,701,7.71
Altishofen,LU,1959,14.32
Altnau,TG,2343,6.71
Alto Malcantone,TI,1380,22.06
Altstätten,SG,11938,39.56
Amden,SG,1876,43.04
Amlikon-Bissegg,TG,1332,14.43
Ammerswil,AG,735,3.20
Amriswil,TG,14211,18.99
Amsoldingen,BE,800,4.70
Andeer,GR,916,46.37
Andelfingen,ZH,2232,6.70
Andermatt,UR,1527,62.19
Andwil (SG),SG,2058,6.28
Anières,GE,2381,3.82
Anniviers,VS,2742,243.37
Anwil,BL,542,3.94
Appenzell,AI,5793,16.88
Aranno,TI,354,2.55
Arbaz,VS,1360,19.25
Arbedo-Castione,TI,5024,21.43
Arboldswil,BL,564,3.46
Arbon,TG,14950,6.01
Arch,BE,1700,6.40
Ardon,VS,3379,20.34
Arisdorf,BL,1691,9.98
Aristau,AG,1512,8.70
