PLZ,Ort,Kanton
1000,Lausanne,Waadt
1003,Lausanne,Waadt
1004,Lausanne,Waadt
1005,Lausanne,Waadt
1006,Lausanne,Waadt
1007,Lausanne,Waadt
1008,Jouxtens-Mézery,Waadt
1008,Prilly,Waadt
1009,Pully,Waadt
1010,Lausanne,Waadt
1011,Lausanne,Waadt
1012,Lausanne,Waadt
1015,Lausanne,Waadt
1018,Lausanne,Waadt
1020,Renens VD,Waadt
1022,Chavannes-près-Renens,Waadt
1023,Crissier,Waadt
1024,Ecublens VD,Waadt
1025,St-Sulpice VD,Waadt
1026,Denges,Waadt
1026,Echandens,Waadt
1027,Lonay,Waadt
1028,Préverenges,Waadt
1029,Villars-Ste-Croix,Waadt
1030,Bussigny-près-Lausanne,Waadt
1031,Mex VD,Waadt
1032,Romanel-sur-Lausanne,Waadt
1033,Cheseaux-sur-Lausanne,Waadt
1034,Boussens,Waadt
1035,Bournens,Waadt
1036,Sullens,Waadt
1037,Etagnières,Waadt
1038,Bercher,Waadt
1040,St-Barthélemy VD,Waadt
1040,Villars-le-Terroir,Waadt
1040,Echallens,Waadt
1041,Dommartin,Waadt
1041,Poliez-Pittet,Waadt
1041,Bottens,Waadt
1041,Naz,Waadt
1041,Montaubion-Chardonney,Waadt
1041,Poliez-le-Grand,Waadt
1042,Bettens,Waadt
1042,Bioley-Orjulaz,Waadt
1042,Assens,Waadt
1043,Sugnens,Waadt
1044,Fey,Waadt
1045,Ogens,Waadt
1046,Rueyres,Waadt
1047,Oppens,Waadt
1052,Le Mont-sur-Lausanne,Waadt
1053,Bretigny-sur-Morrens,Waadt
1053,Cugy VD,Waadt
1054,Morrens VD,Waadt
1055,Froideville,Waadt
1058,Villars-Tiercelin,Waadt
1059,Peney-le-Jorat,Waadt
1061,Villars-Mendraz,Waadt
1062,Sottens,Waadt
1063,Peyres-Possens,Waadt
1063,Boulens,Waadt
1063,Chapelle-sur-Moudon,Waadt
1063,Martherenges,Waadt
1066,Epalinges,Waadt
1068,Les Monts-de-Pully,Waadt
1070,Puidoux,Waadt
1071,Rivaz,Waadt
1071,St-Saphorin (Lavaux),Waadt
1071,Chexbres,Waadt
1072,Forel (Lavaux),Waadt
1073,Mollie-Margot,Waadt
1073,Savigny,Waadt
1076,Ferlens VD,Waadt
1077,Servion,Waadt
1078,Essertes,Waadt
1080,Les Cullayes,Waadt
1081,Montpreveyres,Waadt
1082,Corcelles-le-Jorat,Waadt
1083,Mézières VD,Waadt
1084,Carrouge VD,Waadt
1085,Vulliens,Waadt
1088,Ropraz,Waadt
1090,La Croix (Lutry),Waadt
1091,Aran,Waadt
1091,Chenaux,Waadt
1091,Grandvaux,Waadt
1092,Belmont-sur-Lausanne,Waadt
1093,La Conversion,Waadt
1094,Paudex,Waadt
1095,Lutry,Waadt
1096,Villette (Lavaux),Waadt
1096,Cully,Waadt
1097,Riex,Waadt
1098,Epesses,Waadt
1110,Morges,Waadt
1112,Echichens,Waadt
1113,St-Saphorin-sur-Morges,Waadt
1114,Colombier VD,Waadt
1115,Vullierens,Waadt
1116,Cottens VD,Waadt
1117,Grancy,Waadt
1121,Bremblens,Waadt
1122,Romanel-sur-Morges,Waadt
1123,Aclens,Waadt
1124,Gollion,Waadt
1125,Monnaz,Waadt
1126,Vaux-sur-Morges,Waadt
1127,Clarmont,Waadt
1128,Reverolle,Waadt
1131,Tolochenaz,Waadt
1132,Lully VD,Waadt
1134,Vufflens-le-Château,Waadt
1134,Chigny,Waadt
1135,Denens,Waadt
1136,Bussy-Chardonney,Waadt
1141,Sévery,Waadt
1142,Pampigny,Waadt
1143,Apples,Waadt
1144,Ballens,Waadt
1145,Bière,Waadt
1146,Mollens VD,Waadt
1147,Montricher,Waadt
1148,Cuarnens,Waadt
1148,Moiry VD,Waadt
1148,La Praz,Waadt
1148,Mont-la-Ville,Waadt
1148,Chavannes-le-Veyron,Waadt
1148,Mauraz,Waadt
1148,Villars-Bozon,Waadt
1148,La Coudre,Waadt
1148,L'Isle,Waadt
1149,Berolle,Waadt
1162,St-Prex,Waadt
1163,Etoy,Waadt
1164,Buchillon,Waadt
1165,Allaman,Waadt
1166,Perroy,Waadt
1167,Lussy-sur-Morges,Waadt
1168,Villars-sous-Yens,Waadt
1169,Yens,Waadt
1170,Aubonne,Waadt
1172,Bougy-Villars,Waadt
1173,Féchy,Waadt
1174,Montherod,Waadt
1174,Pizy,Waadt
1175,Lavigny,Waadt
1176,St-Livres,Waadt
1180,Tartegnin,Waadt
1180,Rolle,Waadt
1182,Gilly,Waadt
1183,Bursins,Waadt
1184,Vinzel,Waadt
1184,Luins,Waadt
1185,Mont-sur-Rolle,Waadt
1186,Essertines-sur-Rolle,Waadt
1187,St-Oyens,Waadt
1188,Gimel,Waadt
1188,St-George,Waadt
1189,Saubraz,Waadt
1195,Dully,Waadt
1195,Bursinel,Waadt
1196,Gland,Waadt
1197,Prangins,Waadt
1200,Genève,Genf
1201,Genève,Genf
1202,Genève,Genf
1203,Genève,Genf
1204,Genève,Genf
1205,Genève,Genf
1206,Genève,Genf
1207,Genève,Genf
1208,Genève,Genf
1209,Genève,Genf
1212,Grand-Lancy,Genf
1213,Petit-Lancy,Genf
1213,Onex,Genf
1214,Vernier,Genf
1215,Genève 15 Aéroport,Genf
1216,Cointrin,Genf
1217,Meyrin,Genf
1218,Le Grand-Saconnex,Genf
1219,Le Lignon,Genf
1219,Aïre,Genf
1219,Châtelaine,Genf
1220,Les Avanchets,Genf
1222,Vésenaz,Genf
1223,Cologny,Genf
1224,Chêne-Bougeries,Genf
1225,Chêne-Bourg,Genf
1226,Thônex,Genf
1227,Les Acacias,Genf
1227,Carouge GE,Genf
1228,Plan-les-Ouates,Genf
1231,Conches,Genf
1232,Confignon,Genf
1233,Bernex,Genf
1234,Vessy,Genf
1236,Cartigny,Genf
1237,Avully,Genf
1239,Collex,Genf
1241,Puplinge,Genf
1242,Satigny,Genf
1243,Presinge,Genf
1244,Choulex,Genf
1245,Collonge-Bellerive,Genf
1246,Corsier GE,Genf
1247,Anières,Genf
1248,Hermance,Genf
1251,Gy,Genf
1252,Meinier,Genf
1253,Vandoeuvres,Genf
1254,Jussy,Genf
1255,Veyrier,Genf
1256,Troinex,Genf
1257,La Croix-de-Rozon,Genf
1258,Perly,Genf
1260,Nyon,Waadt
1261,Longirod,Waadt
1261,Marchissy,Waadt
1261,Le Vaud,Waadt
1262,Eysins,Waadt
1263,Crassier,Waadt
1264,St-Cergue,Waadt
1265,La Cure,Waadt
1266,Duillier,Waadt
1267,Vich,Waadt
1267,Coinsins,Waadt
1268,Burtigny,Waadt
1268,Begnins,Waadt
1269,Bassins,Waadt
1270,Trélex,Waadt
1271,Givrins,Waadt
1272,Genolier,Waadt
1273,Le Muids,Waadt
1273,Arzier,Waadt
1274,Grens,Waadt
1274,Signy,Waadt
1275,Chéserex,Waadt
1276,Gingins,Waadt
1277,Arnex-sur-Nyon,Waadt
1277,Borex,Waadt
1278,La Rippe,Waadt
1279,Bogis-Bossey,Waadt
1279,Chavannes-de-Bogis,Waadt
1281,Russin,Genf
1283,Dardagny,Genf
1283,La Plaine,Genf
1284,Chancy,Genf
1285,Athenaz (Avusy),Genf
1286,Soral,Genf
1287,Laconnex,Genf
1288,Aire-la-Ville,Genf
1290,Versoix,Genf
1290,Chavannes-des-Bois,Waadt
1291,Commugny,Waadt
1292,Chambésy,Genf
1293,Bellevue,Genf
1294,Genthod,Genf
1295,Mies,Waadt
1295,Tannay,Waadt
1296,Coppet,Waadt
1297,Founex,Waadt
1298,Céligny,Genf
1299,Crans-près-Céligny,Waadt
1302,Vufflens-la-Ville,Waadt
1303,Penthaz,Waadt
1304,Senarclens,Waadt
1304,Dizy,Waadt
1304,Allens,Waadt
1304,Cossonay-Ville,Waadt
1305,Penthalaz,Waadt
1306,Daillens,Waadt
1307,Lussery-Villars,Waadt
1308,La Chaux (Cossonay),Waadt
1312,Eclépens,Waadt
1313,Ferreyres,Waadt
1315,La Sarraz,Waadt
1316,Chevilly,Waadt
1317,Orny,Waadt
1318,Pompaples,Waadt
1321,Arnex-sur-Orbe,Waadt
1322,Croy,Waadt
1323,Romainmôtier,Waadt
1324,Premier,Waadt
1325,Vaulion,Waadt
1326,Juriens,Waadt
1329,Bretonnières,Waadt
1337,Vallorbe,Waadt
1338,Ballaigues,Waadt
1341,Orient,Waadt
1342,Le Pont,Waadt
1343,Les Charbonnières,Waadt
1344,L'Abbaye,Waadt
1345,Le Lieu,Waadt
1346,Les Bioux,Waadt
1347,Le Solliat,Waadt
1347,Le Sentier,Waadt
1348,Le Brassus,Waadt
1350,Orbe,Waadt
1352,Agiez,Waadt
1353,Bofflens,Waadt
1354,Montcherand,Waadt
1355,Sergey,Waadt
1355,L'Abergement,Waadt
1356,Les Clées,Waadt
1356,La Russille,Waadt
1357,Lignerolle,Waadt
1358,Valeyres-sous-Rances,Waadt
1372,Bavois,Waadt
1373,Chavornay,Waadt
1374,Corcelles-sur-Chavornay,Waadt
1375,Penthéréaz,Waadt
1376,Eclagnens,Waadt
1376,Goumoens-le-Jux,Waadt
1376,Goumoens-la-Ville,Waadt
1377,Oulens-sous-Echallens,Waadt
1400,Yverdon-les-Bains,Waadt
1400,Cheseaux-Noréaz,Waadt
1404,Cuarny,Waadt
1404,Villars-Epeney,Waadt
1405,Pomy,Waadt
1406,Cronay,Waadt
1407,Bioley-Magnoux,Waadt
1407,Gossens,Waadt
1407,Mézery-près-Donneloye,Waadt
1407,Donneloye,Waadt
1408,Prahins,Waadt
1409,Chanéaz,Waadt
1410,Prévondavaux,Freiburg
1410,St-Cierges,Waadt
1410,Denezy,Waadt
1410,Correvon,Waadt
1410,Thierrens,Waadt
1412,Valeyres-sous-Ursins,Waadt
1412,Ursins,Waadt
1413,Orzens,Waadt
1415,Molondin,Waadt
1415,Démoret,Waadt
1416,Pailly,Waadt
1417,Epautheyres,Waadt
1417,Essertines-sur-Yverdon,Waadt
1418,Vuarrens,Waadt
1420,Fiez,Waadt
1421,Fontaines-sur-Grandson,Waadt
1421,Grandevent,Waadt
1422,Grandson,Waadt
1423,Fontanezier,Waadt
1423,Romairon,Waadt
1423,Vaugondry,Waadt
1423,Villars-Burquin,Waadt
1424,Champagne,Waadt
1425,Onnens VD,Waadt
1426,Corcelles-près-Concise,Waadt
1426,Concise,Waadt
1427,Bonvillars,Waadt
1428,Mutrux,Waadt
1428,Provence,Waadt
1429,Giez,Waadt
1430,Orges,Waadt
1431,Vugelles-La Mothe,Waadt
1431,Novalles,Waadt
1432,Belmont-sur-Yverdon,Waadt
1432,Gressy,Waadt
1433,Suchy,Waadt
1434,Ependes VD,Waadt
1435,Essert-Pittet,Waadt
1436,Treycovagnes,Waadt
1436,Chamblon,Waadt
1437,Suscévaz,Waadt
1438,Mathod,Waadt
1439,Rances,Waadt
1441,Valeyres-sous-Montagny,Waadt
1442,Montagny-près-Yverdon,Waadt
1443,Champvent,Waadt
1443,Essert-sous-Champvent,Waadt
1443,Villars-sous-Champvent,Waadt
1445,Vuiteboeuf,Waadt
1446,Baulmes,Waadt
1450,La Sagne (Ste-Croix),Waadt
1450,Le Château-de-Ste-Croix,Waadt
1450,Ste-Croix,Waadt
1452,Les Rasses,Waadt
1453,Mauborget,Waadt
1453,Bullet,Waadt
1454,La Vraconnaz,Waadt
1454,L'Auberson,Waadt
1462,Yvonand,Waadt
1463,Rovray,Waadt
1464,Chêne-Pâquier,Waadt
1464,Chavannes-le-Chêne,Waadt
1468,Cheyres,Freiburg
1470,Bollion,Freiburg
1470,Lully FR,Freiburg
1470,Seiry,Freiburg
1470,Estavayer-le-Lac,Freiburg
1473,Font,Freiburg
1473,Châtillon FR,Freiburg
1474,Châbles FR,Freiburg
1475,Autavaux,Freiburg
1475,Forel FR,Freiburg
1475,Montbrelloz,Freiburg
1482,Cugy FR,Freiburg
1483,Frasses,Freiburg
1483,Vesin,Freiburg
1483,Montet (Broye),Freiburg
1484,Aumont,Freiburg
1484,Granges-de-Vesin,Freiburg
1485,Nuvilly,Freiburg
1486,Vuissens,Freiburg
1489,Murist,Freiburg
1509,Vucherens,Waadt
1510,Syens,Waadt
1510,Moudon,Waadt
1512,Chavannes-sur-Moudon,Waadt
1513,Hermenches,Waadt
1513,Rossenges,Waadt
1514,Bussy-sur-Moudon,Waadt
1515,Neyruz-sur-Moudon,Waadt
1515,Villars-le-Comte,Waadt
1521,Curtilles,Waadt
1522,Oulens-sur-Lucens,Waadt
1522,Lucens,Waadt
1523,Granges-près-Marnand,Waadt
1524,Marnand,Waadt
1525,Seigneux,Waadt
1525,Henniez,Waadt
1526,Forel-sur-Lucens,Waadt
1526,Cremin,Waadt
1527,Villeneuve FR,Freiburg
1528,Praratoud,Freiburg
1528,Surpierre,Freiburg
1529,Cheiry,Freiburg
1530,Payerne,Waadt
1532,Fétigny,Freiburg
1533,Ménières,Freiburg
1534,Chapelle (Broye),Freiburg
1534,Sassel,Waadt
1535,Combremont-le-Grand,Waadt
1536,Combremont-le-Petit,Waadt
1537,Champtauroz,Waadt
1538,Treytorrens (Payerne),Waadt
1541,Morens FR,Freiburg
1541,Sévaz,Freiburg
1541,Bussy FR,Freiburg
1542,Rueyres-les-Prés,Freiburg
1543,Grandcour,Waadt
1544,Gletterens,Freiburg
1545,Chevroux,Waadt
1551,Vers-chez-Perrin,Waadt
1552,Trey,Waadt
1553,Châtonnaye,Freiburg
1554,Sédeilles,Waadt
1554,Rossens VD,Waadt
1555,Villarzel,Waadt
1562,Corcelles-près-Payerne,Waadt
1563,Dompierre FR,Freiburg
1564,Domdidier,Freiburg
1565,Vallon,Freiburg
1565,Missy,Waadt
1566,Les Friques,Freiburg
1566,St-Aubin FR,Freiburg
1567,Delley,Freiburg
1568,Portalban,Freiburg
1580,Oleyres,Waadt
1580,Avenches,Waadt
1582,Donatyre,Waadt
1583,Villarepos,Freiburg
1584,Villars-le-Grand,Waadt
1585,Bellerive VD,Waadt
1585,Cotterd,Waadt
1585,Salavaux,Waadt
1586,Vallamand,Waadt
1587,Montmagny,Waadt
1587,Constantine,Waadt
1588,Cudrefin,Waadt
1589,Chabrey,Waadt
1595,Clavaleyres,Bern
1595,Faoug,Waadt
1607,Les Tavernes,Waadt
1607,Les Thioleyres,Waadt
1607,Palézieux-Village,Waadt
1607,Palézieux,Waadt
1608,Chapelle (Glâne),Freiburg
1608,Bussigny-sur-Oron,Waadt
1608,Chesalles-sur-Oron,Waadt
1608,Oron-le-Châtel,Waadt
1609,Besencens,Freiburg
1609,Fiaugères,Freiburg
1609,Le Jordil,Freiburg
1609,St-Martin FR,Freiburg
1610,Châtillens,Waadt
1610,Vuibroye,Waadt
1610,Oron-la-Ville,Waadt
1611,Le Crêt-près-Semsales,Freiburg
1612,Ecoteaux,Waadt
1613,Maracon,Waadt
1614,Granges (Veveyse),Freiburg
1615,Bossonnens,Freiburg
1616,Attalens,Freiburg
1617,Tatroz,Freiburg
1617,Remaufens,Freiburg
1618,Châtel-St-Denis,Freiburg
1619,Les Paccots,Freiburg
1623,Semsales,Freiburg
1624,La Verrerie,Freiburg
1624,Grattavache,Freiburg
1624,Progens,Freiburg
1625,Maules,Freiburg
1625,Sâles (Gruyère),Freiburg
1626,Romanens,Freiburg
1626,Treyfayes,Freiburg
